Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Bytes,Mean,Error,StdDev,Scaled,ScaledSD,Throughput
CombineHashCodes,Empty,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,2.041 ns,0.0261 ns,0.0245 ns,1.00,0.00,"1,869 MiB/s"
HashByteArray,SeaHash_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,59.776 ns,0.3552 ns,0.3322 ns,29.29,0.37,64 MiB/s
CombineHashCodes,MultiplyAdd_Reordered_Custom,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,2.192 ns,0.0796 ns,0.0885 ns,1.07,0.04,"1,740 MiB/s"
HashByteArray,Murmur3x8632_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,20.664 ns,0.1262 ns,0.1180 ns,10.13,0.13,185 MiB/s
HashByteArray,XxHash32_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,40.019 ns,0.2368 ns,0.2215 ns,19.61,0.25,95 MiB/s
CombineHashCodes,Murmur3A_Steps,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,7.584 ns,0.0537 ns,0.0476 ns,3.72,0.05,503 MiB/s
HashByteArray,XxHash64_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,59.845 ns,0.3921 ns,0.3668 ns,29.33,0.38,64 MiB/s
CombineHashCodes,HSip13_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,66.150 ns,0.4713 ns,0.3936 ns,32.42,0.42,58 MiB/s
CombineHashCodes,HSip24_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,95.510 ns,0.4804 ns,0.4494 ns,46.80,0.58,40 MiB/s
HashByteArray,HalfSip13_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,62.893 ns,0.3640 ns,0.3405 ns,30.82,0.39,61 MiB/s
CombineHashCodes,Sip13_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,74.214 ns,0.3792 ns,0.3547 ns,36.37,0.45,51 MiB/s
CombineHashCodes,Sip24_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,103.446 ns,0.5965 ns,0.5580 ns,50.69,0.64,37 MiB/s
CombineHashCodes,Marvin32_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,20.933 ns,0.1262 ns,0.1119 ns,10.26,0.13,182 MiB/s
HashByteArray,HalfSip24_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,95.550 ns,0.6211 ns,0.5810 ns,46.82,0.61,40 MiB/s
CombineHashCodes,XXHash32_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,9.988 ns,0.0634 ns,0.0593 ns,4.89,0.06,382 MiB/s
HashByteArray,Sip13_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,85.184 ns,0.5027 ns,0.4702 ns,41.74,0.53,45 MiB/s
CombineHashCodes,XXHash64_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,31.705 ns,0.2464 ns,0.2305 ns,15.54,0.21,120 MiB/s
CombineHashCodes,SeaHash_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,43.898 ns,0.2809 ns,0.2627 ns,21.51,0.28,87 MiB/s
HashByteArray,Sip24_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,119.627 ns,0.8249 ns,0.7716 ns,58.62,0.77,32 MiB/s
CombineHashCodes,SpookyV2_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,112.615 ns,0.6372 ns,0.5960 ns,55.18,0.70,34 MiB/s
HashByteArray,Marvin32_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,40.604 ns,0.3087 ns,0.2888 ns,19.90,0.27,94 MiB/s
CombineHashCodes,City32_CustomSeed_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,10.682 ns,0.0720 ns,0.0673 ns,5.23,0.07,357 MiB/s
HashByteArray,SpookyV2_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,138.560 ns,0.8662 ns,0.8102 ns,67.90,0.87,28 MiB/s
CombineHashCodes,City64_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,12.301 ns,0.0849 ns,0.0794 ns,6.03,0.08,310 MiB/s
CombineHashCodes,City64WithSeeds_Combine,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,28.466 ns,0.2477 ns,0.2196 ns,13.95,0.19,134 MiB/s
HashByteArray,City32_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,14.094 ns,0.0570 ns,0.0533 ns,6.91,0.08,271 MiB/s
HashByteArray,City64_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,22.188 ns,0.1620 ns,0.1515 ns,10.87,0.14,172 MiB/s
HashByteArray,City64WithSeeds_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,38.204 ns,0.2304 ns,0.2155 ns,18.72,0.24,100 MiB/s
CombineHashCodes,Empty,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.706 ns,0.0144 ns,0.0134 ns,1.00,0.00,"2,237 MiB/s"
HashByteArray,SeaHash_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,18.557 ns,0.1150 ns,0.1076 ns,10.88,0.10,206 MiB/s
